Unnamed: 0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,price_category
3946,230.0,central_heating,0,0,40.0,1520.0,1980.0,113773708,1,1,1290.0,73.0,fully_renovated,2,0,ground_floor,3.0,3.0,4.0,0,Steglitz_Steglitz,105.4,0,"Albrechtstr 106, 12167 Berlin, Germany",above_average
3947,190.0,self_contained_central_heating,0,1,40.0,1800.0,2008.0,111060458,1,1,1610.0,98.03,modernized,2,0,apartment,3.0,2.0,5.0,0,Kreuzberg_Kreuzberg,105.4,0,"Möckernstraße 91, 10963 Berlin, Germany",above_average
3948,106.34,district_heating,1,1,2.4,893.21,2019.0,111417973,0,0,730.17,70.89,well_kept,2,1,other,3.0,9.0,7.0,0,Marzahn_Marzahn,56.7,0,"Kienbergstr. 21, 12685 Berlin, Germany",below_average
3949,249.15,district_heating,0,1,40.0,1092.06,1981.0,113780801,1,1,717.43,82.18,well_kept,3,1,apartment,2.0,3.0,5.0,0,Steglitz_Steglitz,125.5,0,"Herrfurthstraße 16, 12163 Berlin, Germany",below_average
3950,333.0,floor_heating,0,1,10.0,1844.0,1980.0,110958127,1,1,1511.0,111.2,mint_condition,3,1,apartment,2.0,4.0,4.0,0,Lichterfelde_Steglitz,70.3,0,"Billy Wilder Promenade 13, 14167 Berlin, Germany",above_average
3951,147.0,floor_heating,1,1,32.1,1107.0,2018.0,112935127,1,1,960.0,53.4,first_time_use,2,1,apartment,2.0,6.0,7.0,1,Tiergarten_Tiergarten,70.3,1,"Klara-Franke-Straße 10, 10557 Berlin, Germany",below_average
3952,70.0,central_heating,0,1,10.0,908.0,1910.0,111324894,1,1,798.0,40.0,first_time_use_after_refurbishment,2,0,apartment,1.0,3.0,5.0,0,Charlottenburg_Charlottenburg,40.0,0,"Reichsstr. 30, 14052 Berlin, Germany",below_average
3953,232.4,floor_heating,1,1,40.0,1465.8,2018.0,110760507,1,1,1233.4,66.4,first_time_use,3,1,apartment,2.0,5.0,7.0,0,Tiergarten_Tiergarten,70.3,1,"Lützowufer 21, 10787 Berlin, Germany",above_average
3954,167.82,district_heating,0,1,40.0,637.07,1931.0,111305046,0,0,469.25,57.79,well_kept,2,0,apartment,2.0,3.0,6.0,0,Oberschöneweide_Köpenick,66.8,0,"Triniusstr. 1A, 12459 Berlin, Germany",below_average
3955,226.0,combined_heat_and_power_plant,0,1,40.0,1246.0,1850.0,103848059,1,1,980.0,75.32,first_time_use_after_refurbishment,2,0,apartment,3.0,1.0,1.0,1,Rosenthal_Pankow,105.4,1,"Hauptstr. 143, 13158 Berlin, Germany",below_average
