Unnamed_0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,bezirk,bezirk_group,flat_group,condition_group
2081,94,central_heating,0,0,10,569,1956,100591695,0,0,475,32.96,modernized,3,0,apartment,1,1,4,0,Tempelhof_Tempelhof,26,0,"Kaiserkorso 6, 12101 Berlin, Germany",Tempelhof,South,Apartment,Renovated
1015,125,district_heating,0,1,40,919.64,1956,113788156,1,1,674.64,79.09,need_of_renovation,2,0,half_basement,3,0,5,0,Lichterfelde_Steglitz,120,1,"Chlumer Str. 1, 12203 Berlin, Germany",Steglitz,West,Apartment,Needs Work
6823,116.32,self_contained_central_heating,0,1,10,705.52,1956,107373035,0,0,589.2,59.56,first_time_use_after_refurbishment,2,0,ground_floor,3,0,6,1,Britz_Neukölln,105.4,0,"Grünlingweg 2A, 12359 Berlin, Germany",Neukölln,South,Ground Floor,New
5256,161,central_heating,0,0,10,1100,1956,107385656,1,1,798,44,mint_condition,2,1,apartment,1,6,6,0,Schöneberg_Schöneberg,150,1,"Hauptstraße 93, 12159 Berlin, Germany",Schöneberg,Central,Apartment,Well-maintained
6267,153,central_heating,0,0,10,1100,1956,107347749,1,1,0,44,mint_condition,2,1,apartment,1,6,6,0,Schöneberg_Schöneberg,0,1,"Hauptstraße 93, 12159 Berlin, Germany",Schöneberg,Central,Apartment,Well-maintained
5380,172,central_heating,0,0,40,1582,1956,114707666,0,0,1322,88.13,first_time_use,2,0,roof_storey,3.5,0,2,0,Steglitz_Steglitz,88,0,"Klingsorstr. 93, 12167 Berlin, Germany",Steglitz,West,Roof Storey,New
7133,145,central_heating,0,1,40,1809,1956,105034207,1,1,1589,72.25,first_time_use_after_refurbishment,2,1,apartment,3.5,2,7,0,Charlottenburg_Charlottenburg,75,0,"Sybelstraße 17, 10629 Berlin, Germany",Charlottenburg,West,Apartment,New
8407,85,central_heating,0,0,40,1250,1956,110770897,1,1,1090,65,modernized,2,0,roof_storey,2,4,4,0,Kreuzberg_Kreuzberg,75,0,"Lobeckstraße 71, 10969 Berlin, Germany",Kreuzberg,Central,Roof Storey,Renovated
5598,45,central_heating,0,0,40,900,1956,110624263,1,1,810,35,modernized,2,0,apartment,1,3,4,0,Kreuzberg_Kreuzberg,45,1,"Lobeckstraße 73, 10969 Berlin, Germany",Kreuzberg,Central,Apartment,Renovated
366,105,central_heating,0,1,40,1650,1956,113666896,0,0,1450,80,first_time_use,2,0,apartment,3,1,5,0,Kreuzberg_Kreuzberg,95,0,"Lobeckstraße 75, 10969 Berlin, Germany",Kreuzberg,Central,Apartment,New
