noRooms,totalRent,livingSpace,balcony
2.0,750.0,72.0,True
4.0,2521.3,122.99,True
3.0,656.75,56.63,True
2.0,1439.0,47.44,True
3.0,2020.99,96.93,True
2.5,998.0,84.0,False
4.0,2487.79,130.2,True
3.0,681.51,68.84,True
3.0,1685.87,92.63,False
1.0,610.0,35.7,False
2.5,829.0,79.0,True
3.0,592.0,61.92,False
4.0,3197.5064523633782,127.37,True
2.0,959.31,58.27,True
5.0,2677.9,146.3,True
3.0,1144.0,76.5,True
2.0,779.0,60.0,False
2.0,1385.0,70.0,True
6.0,4279.0,210.05,True
1.5,873.83,47.03,True
3.0,1582.0,94.0,True
3.0,2117.0,131.84,True
2.0,997.67,66.01,True
3.0,1925.5598392725335,80.02,True
2.0,1400.0,50.0,True
4.0,2932.2,146.61,False
3.5,1000.0,94.0,False
3.0,1430.0,93.0,True
3.0,930.0,69.3,True
1.0,386.58,39.0,False
3.0,2224.35,110.19,True
2.0,919.0,62.82,True
2.0,750.0,77.0,True
5.0,3300.0,198.7,True
3.0,2224.0,122.0,False
3.0,2599.0,116.0,True
1.5,646.35,53.43,True
3.0,1237.05,95.9,True
2.0,641.3,65.0,True
2.0,1650.74,81.72,True
4.0,3245.95,157.0,True
3.0,1610.0,108.72,True
1.0,589.52,52.16,True
3.0,1720.0,116.35,True
3.0,1982.86,115.35,True
2.0,789.0,61.0,True
2.0,527.79,57.84,True
3.5,1107.87,88.09,True
1.0,980.0,36.85,False
3.0,856.58,75.0,True
3.0,1060.0,116.0,False
2.5,829.0,60.64,True
2.0,462.0,52.0,False
2.0,950.0,64.21,True
1.0,549.0,42.0,True
2.0,998.0,66.0,False
1.0,895.0,38.0,False
1.0,584.0,40.95,False
4.0,3654.36,203.02,True
3.0,910.0,82.0,True
2.0,1115.0,68.0,True
3.0,1014.32,80.0,True
1.0,746.0,51.42,True
3.0,2112.0,105.6,True
2.0,2070.16,112.63,True
1.5,620.5,49.64,True
2.0,719.0,50.0,True
4.0,3390.0,55.0,False
5.0,2601.89,133.43,True
3.0,3026.95,140.28,True
1.0,900.0,31.0,True
1.0,487.71,38.03,False
3.0,809.31,72.91,False
3.0,1889.76,82.87,True
3.0,2579.0,142.0,True
3.0,1209.0,110.0,True
3.0,2091.78,100.27,True
3.0,1739.0,114.0,True
2.0,990.0,70.0,True
1.0,627.0,24.78,True
2.0,1281.0,75.0,False
2.0,1139.0,85.0,True
